분야 및 연도,연도,배출량,항목
A 연료연소_1 에너지산업,1990,41862.91,1 에너지산업
A 연료연소_a 공공 전기 및 열 생산,1990,37044.76,a 공공 전기 및 열 생산
A 연료연소_b 석유정제,1990,4183.18,b 석유정제
A 연료연소_c 화학,1990,8551.63,c 화학
A 연료연소_1 에너지산업,1991,49781.26,1 에너지산업
A 연료연소_a 공공 전기 및 열 생산,1991,43623.51,a 공공 전기 및 열 생산
A 연료연소_b 석유정제,1991,4965.94,b 석유정제
A 연료연소_c 화학,1991,10278.59,c 화학
A 연료연소_1 에너지산업,1992,58854.01,1 에너지산업
A 연료연소_a 공공 전기 및 열 생산,1992,51109.72,a 공공 전기 및 열 생산
A 연료연소_b 석유정제,1992,6081.84,b 석유정제
A 연료연소_c 화학,1992,10408.71,c 화학
A 연료연소_1 에너지산업,1993,67011.41,1 에너지산업
A 연료연소_a 공공 전기 및 열 생산,1993,57898.08,a 공공 전기 및 열 생산
A 연료연소_b 석유정제,1993,6775.56,b 석유정제
A 연료연소_c 화학,1993,11356.41,c 화학
A 연료연소_1 에너지산업,1994,81046.89,1 에너지산업
A 연료연소_a 공공 전기 및 열 생산,1994,71469.05,a 공공 전기 및 열 생산
A 연료연소_b 석유정제,1994,7027.56,b 석유정제
A 연료연소_c 화학,1994,12069.09,c 화학
A 연료연소_1 에너지산업,1995,91650.47,1 에너지산업
A 연료연소_a 공공 전기 및 열 생산,1995,79276.27,a 공공 전기 및 열 생산
A 연료연소_b 석유정제,1995,9271.65,b 석유정제
A 연료연소_c 화학,1995,11421.24,c 화학
A 연료연소_1 에너지산업,1996,109709.33,1 에너지산업
A 연료연소_a 공공 전기 및 열 생산,1996,96299.15,a 공공 전기 및 열 생산
A 연료연소_b 석유정제,1996,10501.9,b 석유정제
A 연료연소_c 화학,1996,13300.5,c 화학
A 연료연소_1 에너지산업,1997,120169.74,1 에너지산업
A 연료연소_a 공공 전기 및 열 생산,1997,104197.73,a 공공 전기 및 열 생산
A 연료연소_b 석유정제,1997,13134.09,b 석유정제
A 연료연소_c 화학,1997,16859.0,c 화학
A 연료연소_1 에너지산업,1998,107566.89,1 에너지산업
A 연료연소_a 공공 전기 및 열 생산,1998,92143.63,a 공공 전기 및 열 생산
A 연료연소_b 석유정제,1998,13371.07,b 석유정제
A 연료연소_c 화학,1998,13533.63,c 화학
A 연료연소_1 에너지산업,1999,117320.37,1 에너지산업
A 연료연소_a 공공 전기 및 열 생산,1999,101496.92,a 공공 전기 및 열 생산
A 연료연소_b 석유정제,1999,13845.9,b 석유정제
A 연료연소_c 화학,1999,14631.8,c 화학
A 연료연소_1 에너지산업,2000,135819.69,1 에너지산업
A 연료연소_a 공공 전기 및 열 생산,2000,120324.83,a 공공 전기 및 열 생산
A 연료연소_b 석유정제,2000,13676.07,b 석유정제
A 연료연소_c 화학,2000,15222.29,c 화학
A 연료연소_1 에너지산업,2001,146598.02,1 에너지산업
A 연료연소_a 공공 전기 및 열 생산,2001,131435.29,a 공공 전기 및 열 생산
A 연료연소_b 석유정제,2001,13801.89,b 석유정제
A 연료연소_c 화학,2001,15235.43,c 화학
A 연료연소_1 에너지산업,2002,155303.27,1 에너지산업
A 연료연소_a 공공 전기 및 열 생산,2002,141053.97,a 공공 전기 및 열 생산
A 연료연소_b 석유정제,2002,13785.72,b 석유정제
A 연료연소_c 화학,2002,15078.8,c 화학
A 연료연소_1 에너지산업,2003,159257.12,1 에너지산업
A 연료연소_a 공공 전기 및 열 생산,2003,145126.17,a 공공 전기 및 열 생산
A 연료연소_b 석유정제,2003,13347.33,b 석유정제
A 연료연소_c 화학,2003,17635.88,c 화학
A 연료연소_1 에너지산업,2004,171855.01,1 에너지산업
A 연료연소_a 공공 전기 및 열 생산,2004,156779.28,a 공공 전기 및 열 생산
A 연료연소_b 석유정제,2004,13331.83,b 석유정제
A 연료연소_c 화학,2004,18527.58,c 화학
A 연료연소_1 에너지산업,2005,177703.37,1 에너지산업
A 연료연소_a 공공 전기 및 열 생산,2005,162729.58,a 공공 전기 및 열 생산
A 연료연소_b 석유정제,2005,13856.89,b 석유정제
A 연료연소_c 화학,2005,17241.94,c 화학
A 연료연소_1 에너지산업,2006,186462.87,1 에너지산업
A 연료연소_a 공공 전기 및 열 생산,2006,171556.62,a 공공 전기 및 열 생산
A 연료연소_b 석유정제,2006,13965.52,b 석유정제
A 연료연소_c 화학,2006,16965.47,c 화학
A 연료연소_1 에너지산업,2007,198786.72,1 에너지산업
A 연료연소_a 공공 전기 및 열 생산,2007,183816.94,a 공공 전기 및 열 생산
A 연료연소_b 석유정제,2007,14204.72,b 석유정제
A 연료연소_c 화학,2007,17715.14,c 화학
A 연료연소_1 에너지산업,2008,211668.54,1 에너지산업
A 연료연소_a 공공 전기 및 열 생산,2008,195425.03,a 공공 전기 및 열 생산
A 연료연소_b 석유정제,2008,15575.43,b 석유정제
A 연료연소_c 화학,2008,17433.87,c 화학
A 연료연소_1 에너지산업,2009,229789.41,1 에너지산업
A 연료연소_a 공공 전기 및 열 생산,2009,214045.02,a 공공 전기 및 열 생산
A 연료연소_b 석유정제,2009,15149.36,b 석유정제
A 연료연소_c 화학,2009,18030.22,c 화학
A 연료연소_1 에너지산업,2010,253692.74,1 에너지산업
A 연료연소_a 공공 전기 및 열 생산,2010,239037.82,a 공공 전기 및 열 생산
A 연료연소_b 석유정제,2010,13979.79,b 석유정제
A 연료연소_c 화학,2010,20039.22,c 화학
A 연료연소_1 에너지산업,2011,264016.86,1 에너지산업
A 연료연소_a 공공 전기 및 열 생산,2011,247819.58,a 공공 전기 및 열 생산
A 연료연소_b 석유정제,2011,15317.36,b 석유정제
A 연료연소_c 화학,2011,21857.42,c 화학
A 연료연소_1 에너지산업,2012,268491.43,1 에너지산업
A 연료연소_a 공공 전기 및 열 생산,2012,252218.81,a 공공 전기 및 열 생산
A 연료연소_b 석유정제,2012,15160.25,b 석유정제
A 연료연소_c 화학,2012,19352.39,c 화학
A 연료연소_1 에너지산업,2013,275114.77,1 에너지산업
A 연료연소_a 공공 전기 및 열 생산,2013,259272.77,a 공공 전기 및 열 생산
A 연료연소_b 석유정제,2013,14751.99,b 석유정제
A 연료연소_c 화학,2013,20084.04,c 화학
A 연료연소_1 에너지산업,2014,262954.54,1 에너지산업
A 연료연소_a 공공 전기 및 열 생산,2014,243704.29,a 공공 전기 및 열 생산
A 연료연소_b 석유정제,2014,18494.49,b 석유정제
A 연료연소_c 화학,2014,19934.07,c 화학
A 연료연소_1 에너지산업,2015,261273.91,1 에너지산업
A 연료연소_a 공공 전기 및 열 생산,2015,243463.01,a 공공 전기 및 열 생산
A 연료연소_b 석유정제,2015,17143.28,b 석유정제
A 연료연소_c 화학,2015,18848.07,c 화학
A 연료연소_1 에너지산업,2016,262856.19,1 에너지산업
A 연료연소_a 공공 전기 및 열 생산,2016,243807.03,a 공공 전기 및 열 생산
A 연료연소_b 석유정제,2016,18386.2,b 석유정제
A 연료연소_c 화학,2016,20760.55,c 화학
A 연료연소_1 에너지산업,2017,272622.82,1 에너지산업
A 연료연소_a 공공 전기 및 열 생산,2017,254191.08,a 공공 전기 및 열 생산
A 연료연소_b 석유정제,2017,17248.76,b 석유정제
A 연료연소_c 화학,2017,22262.25,c 화학
A 연료연소_1 에너지산업,2018,296288.66,1 에너지산업
A 연료연소_a 공공 전기 및 열 생산,2018,275199.88,a 공공 전기 및 열 생산
A 연료연소_b 석유정제,2018,20264.91,b 석유정제
A 연료연소_c 화학,2018,23607.05,c 화학
A 연료연소_1 에너지산업,2019,277663.84,1 에너지산업
A 연료연소_a 공공 전기 및 열 생산,2019,256165.93,a 공공 전기 및 열 생산
A 연료연소_b 석유정제,2019,20628.0,b 석유정제
A 연료연소_c 화학,2019,22162.67,c 화학
A 연료연소_1 에너지산업,2020,245561.72,1 에너지산업
A 연료연소_a 공공 전기 및 열 생산,2020,225746.56,a 공공 전기 및 열 생산
A 연료연소_b 석유정제,2020,19145.19,b 석유정제
A 연료연소_c 화학,2020,23516.1,c 화학
A 연료연소_1 에너지산업,2021,258208.85,1 에너지산업
A 연료연소_a 공공 전기 및 열 생산,2021,238363.89,a 공공 전기 및 열 생산
A 연료연소_b 석유정제,2021,18872.3,b 석유정제
A 연료연소_c 화학,2021,25789.09,c 화학
A 연료연소_1 에너지산업,2022,256317.57,1 에너지산업
A 연료연소_a 공공 전기 및 열 생산,2022,236592.34,a 공공 전기 및 열 생산
A 연료연소_b 석유정제,2022,18403.72,b 석유정제
A 연료연소_c 화학,2022,23068.07,c 화학
A 연료연소_1 에너지산업,2023,246843.12,1 에너지산업
A 연료연소_a 공공 전기 및 열 생산,2023,225672.72,a 공공 전기 및 열 생산
A 연료연소_b 석유정제,2023,19583.96,b 석유정제
A 연료연소_c 화학,2023,24770.22,c 화학
